countries,alpha-2,alpha-3,region,sub-region,latitude,longitude,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,hbd_2010,hbd_2011,hbd_2012,hbd_2013,hbd_2014,hbd_2015,hbd_2016,hbd_2017,hbd_2018,hbd_2019,hbd_2020,hbd_2021,ate_2010,ate_2011,ate_2012,ate_2013,ate_2014,ate_2015,ate_2016,ate_2017,ate_2018,ate_2019,ate_2020,ate_2021
Cambodia,KH,KHM,Asia,South-eastern Asia,12.565679,104.990963,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957,0.84,0.7,0.0,0.7,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,31.1000003814697,50.3072624206543,53.9305648803711,57.5736961364746,56.0999984741211,64.9104232788086,69.5443115234375,89.0699996948242,81.0756530761719,84.0,86.4000015258789,0.0
Channel Islands,CH,CHI,Europe,Northern Europe,49.43,-2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
China,CN,CHN,Asia,Eastern Asia,35.86166,104.195397,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937500608.0,14687673892882.0,17734062645371.4,2.47,2.69,3.01,3.29,3.55,3.79,4.02,4.31,0.0,0.0,0.0,0.0,99.6999969482422,99.8487243652344,99.9619293212891,99.9964447021484,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Croatia,HR,HRV,Europe,Southern Europe,45.1,15.2,60426018629.2992,63169910822.1285,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259,67837788543.5852,5.78,5.84,5.89,5.86,5.91,5.56,5.49,5.54,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Cyprus,CY,CYP,Asia,Western Asia,35.126413,33.429859,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24692095945.1742,27719337670.0177,3.57,3.51,3.46,3.41,3.42,3.42,3.43,3.4,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Czechia,CZ,CZE,Europe,Eastern Europe,49.817492,15.472962,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759,282340849856.614,7.3,7.06,6.93,6.7,6.68,6.67,6.66,6.63,6.62,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Denmark,DK,DNK,Europe,Northern Europe,56.26392,9.501785,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639,397104343478.301,3.5,3.13,0.0,3.07,2.69,2.53,2.6,2.61,2.43,2.6,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Estonia,EE,EST,Europe,Northern Europe,58.595272,25.013607,19523477325.6235,23213994093.4631,23019150071.1867,25115753366.1114,26634083965.0987,22890762090.1508,24072829276.7744,26924385103.0659,30489500904.8564,31045591753.4901,30650285471.7215,36262924353.6041,5.27,5.36,5.53,5.01,5.01,4.96,4.76,4.69,4.57,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Faroe Islands,FO,FRO,Europe,Northern Europe,61.892635,-6.911806,2322202663.53728,2499152495.01742,2414380664.65257,2677296440.7172,2901131403.11804,2561824640.6754,2804863556.01111,2969876872.28339,3180074747.41076,3268839775.69197,3240759988.99453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Fiji,FJ,FJI,Oceania,Melanesia,-16.578193,179.414413,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5581371850.14851,5496264765.78411,4574413823.31243,4592118709.55279,0.0,2.19,0.0,2.19,1.85,1.87,2.0,0.0,0.0,0.0,0.0,0.0,89.2485809326172,90.146125793457,91.0708312988281,91.75,93.7866058349609,95.1682434082031,96.5617446899414,96.0,99.3725051879883,99.7158813476563,100.0,0.0
